
Events that occurred on .
==On Earth==
* 1956 - J.R.R. Tolkien receives a letter from a Sam Gamgee – from Tooting (see Letter 184).
* 1969 - Adam Tolkien is born.
==In Arda==
* :
** Borondir and his companion are on their way in search of the Éothéod.
* : 
** Frodo Baggins is stung by Shelob and subsequently captured by the Orcs of Cirith Ungol.
** The Pelennor Fields is overrun by the enemies of Gondor.
** Faramir is brought back to Minas Tirith badly wounded.
** Aragorn arrives at Pelargir and captures Corsairs of Umbar.
**  They cross the Drúadan Forest.
** Beregond sees a strange light in the tower of Minas Tirith, being Denethor confronting Sauron.
* :
** Frodo Baggins gets ill, on the anniversary of his poisoning by Shelob.
* :
** Frodo Baggins is again ill.
Category:Dates
de:13. März
fi:13. maaliskuuta
