image	File:Sage - Reunited Kingdom.png
location	1304
location	2730
capital	1206
capital	3947
towns	3743
towns	4683
towns	1589
towns	2438
towns	4250
towns	1657
towns	1907
towns	2240
towns	3731
regions	1316
regions	1684
regions	4335
regions	1220
regions	3587
regions	3817
regions	3703
regions	1467
regions	1924
regions	3673
regions	1184
population	2740
population	3938
population	3462
language	4939
language	20877
language	4496
language	4291
language	19898
govern1	3426
govern2	1786
currency	18187
currency	22442
precededby	2730
precededby	1304
